SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Windolf, Mrs	6	1926	16	Kalbar	obit	
Wolter, Mrs C.F.	6	1926	16	Kalbar	obit	
Wulf, Mrs	6	1926	16	Jireh	obit	
Ballin. Mr C.	6	1926	17	Minden	obit	
Qld Baptist College	7	1926	1		photo - principal students officers	
Baptist Association of Qld	7	1926	3		president's announcement of name change	to Baptist Union of Qld
Qld Baptist College	7	1926	4		college policies	
Grimes, Mr W.D.	7	1926	7		resignation as secretary of	Baptist Association of Qld
Weenik, rev. J.W.	7	1926	7		farewell	
Gipsy Smith campaign	7	1926	13		several church reports of involvement	
Hancock, Mrs J.	7	1926	14	Jireh	obit	also page 16
Miller-Firth	7	1926	14	Clayfield	marriage Daphne Miller to Lindsay Firth	
Soden-Matthews	7	1926	15	Fairfield	wedding S.Soden to D. Matthews	
Slaughter, Mrs Hannah	7	1926	16	Jireh	obit	last of the foundation members
Ballin, Mr C.	7	1926	17	Minden	memorial service - obit	
Woolley, Mr Thomas	7	1926	19	Ipswich	obit	born Sept 11, 1841 arrived Sept 1883
Christian Endeavour	7	1926	20		photo of first CE society in 1888	all names identified
Gympie BC	8	1926	1		photo - ladies Dorcas Society	
Baptist Union of Qld	8	1926	3		printed program of Assembly meetings	
Baptist Union of Australia	8	1926	4		Assembly	
Gipsy Smith Evangelistic meetings	8	1926	7		report of meetings	
Enoggera BC	8	1926	13		report of 54th anniversary	
Mergard, Mr, Snr	8	1926	16	Maryborough	obit	
Glassop, Mr and Mrs Stephen	8	1926	19	Taringa	56th wedding anniversary - photo	ex Bathurst St Church and Castlereagh St
Baptist Union of Australia	9	1926	1		photo of inaugural assembly	
Graceville BC	9	1926	3		proposed church - outreach of Taringa	
Baptist Union of Australia	9	1926	4		report of assembly	
Baptist Union of Qld	9	1926	6		Assembly	
Belloti-Smith	9	1926	13	Enoggera	wedding of Violet Smith  Arthur Bellotti	
Tarampa BC	9	1926	17		opening of church	
Baptists and re-Union	9	1926	19		article on response to Lambeth appeal	
Latimer, Rev J.H. President	10	1926	0		feature President Baptist Union of Qld	photo page 1
Baptist Union of Qld	10	1926	4		report of assembly	
Taringa BC	10	1926	5		photo	
Grimes, Mr W.D.	10	1926	9		retirement as Secretary of Union 18 yrs	
Cronau, Mr Fred	10	1926	13	Maryborogh	obit	
Litzow, Mr and Mrs A.	10	1926	14	Minden	Golden wedding	
Richer, Rev William	10	1926	15	Toowong	unveiling of memorial tablet	designed Nundah Memorial BC
Abbott, Rev A. Hedley	10	1926	16		photo	
Lanefield BC	10	1926	16		Golden Jubilee	
Whyte, Mr Peter	10	1926	17	Lanefield	obit	
Symonds, Rev T.U.	10	1926	18		overseas trip	
Home Mission	11	1926	1		photo of officers and pastors	
Home Mission	11	1926	3		reports of various churches	
Gordon Park	11	1926	8		photo of tent mission	
Whiteley, Mr T.	11	1926	9	Mt Morgan	obit	
Pope, Rev W.G.	11	1926	10		returns from overseas trip	
Gympie BC	11	1926	13		land selected for work among men	
Prout, Mrs	11	1926	14	Jireh	obit	
Schadwell, Mrs	11	1926	14	Minden	obit	
Anderson-Packer	11	1926	16	Rosalie	wedding of Vera Anderson & Mr H. Packer	
Sunday School	12	1926	4		report of Australian Baptist Sunday	School conference
Sunday School	12	1926	7		Teachers' conference at City Tabernacle	
Phipps, Miss Winnie	12	1926	13	Albion	obit	
Qld Baptist College	1	1927	7		report of exams	
Porter, Dr Thomas	1	1927	8		obit	
Tugun BC	1	1927	8		dedication of Morgan Memorial church	
Ensigner, Pastor	1	1927	10	Marburg BC	obit - notes of final sermon	
Southport BC	1	1927	12		mission with Rev J. C. Farquhar	
Boonah BC	1	1927	18		opening of new church	
Graceville BC	1	1927	19		opening of new church	
Boonah BC	2	1927	3		new church - report of opening	photo on page 1
Qld Baptist College	2	1927	4		report - close relations with HM	
Graceville BC	2	1927	5		report of opening of new church	
City Tabernacle BC	2	1927	8		Rev W.E. Hurst to be welcomed -	see also p 13
Jubilees	2	1927	8		jubilees of Baptist Association, Rev	Leitch at Windsor Rd and Smith & Paterson Publish
McAllister, Mr L.	2	1927	9	Wondai BC	obit	
Toowoomba BC	2	1927	9		induction of Rev. E.J. Rogers	
Glassop Family	2	1927	11		family reunion	
Luton, Rev C.E.	2	1927	14		resigns Gympie for Rockhampton	
Qld Baptist College	2	1927	21		syllabus of studies for year	
Baptist Union of Qld	3	1927	3		Forward movement - Sunday School & Youth	Home Missions and Evangelism
Baptist Union of Qld	3	1927	4		Sunday School Department - director	
Abbott, Rev. Hedley	3	1927	5	Lanefield	ordination service	
Symonds, Rev T.U.	3	1927	6		farewell	
Toowoomba BC	3	1927	6		report of induction, Rev. E.J. Rogers	
Lethem, Mr Ken	3	1927	7		Fishing trip with boys	
Canberra BC	3	1927	8		appeal for support	
Christian Endeavour	3	1927	20		report - 46th anniversary	
York, Duke and Duchess	4	1927	1		Baptist welcome - photo	
Anzac	4	1927	6		Baptist & Churches of Christ service	
Home Mission HM	4	1927	8		report on staff Sunday School finance	
Durrant, Pastor	4	1927	15		resigns from Newmarket	
Minden BC	4	1927	15		loss of membership to new Tarampa BC	
Mursell, Rev and Mrs J.	4	1927	20	City Tabernacle BC	farewell - welcome W.E. Hurst	see also p 6
Lethem, Mr Ken	4	1927	22		leads boys' boating trip - illus	
Baptist Union of Qld	5	1927	1		Half yearly assembly report	
QB - Qld Baptist	5	1927	4		report of Editor's travels -	Rev. E. Kirwood
Lethem, Mr Ken	5	1927	11		Easter cruise report	
Grimes, Mr W.D.	5	1927	14	Fairfield BC	resigns from Sunday School 52 years	
Metzger, Mr E.	5	1927	16	Rosalie BC	obit	
Albion BC	6	1927	3		Back to Albion weekend with Rev. W.	Higlett
Canberra BC	6	1927	3		Dr Waldock Australian Baptist Union	Commissioner - also p 4 and p1
Higlett, Rev. W.	6	1927	3		visit to Albion	
Baptist Union of Qld	6	1927	4		plans for Jubilee of Union	
Baptist Union of Qld	6	1927	4		Jubilee of Baptist Union	
Coorparoo BC	6	1927	5		opening of Sunday School extension	
Coorparoo BC	6	1927	5		extensions	
Soden, Mrs John	6	1927	5	South Bris Fairfield/Annerley	obit	
Soden, Mrs John	6	1927	5	Fairfield, South Brisbane	obit	photo
Windsor BC	6	1927	6		Jubilee of church and Rev. Thos Leitch	
Windsor Road BC	6	1927	6		Jubilee of church and Rev T. Leitch	
Clayfield BC	6	1927	7		Sunday School teachers conference	
Sunday School	6	1927	7		Teachers' conference	
Woodford Wamuran BC	6	1927	8		visit by HM Superintendent	
Hodges, Mrs S.	6	1927	13	Gympie	obit	
Luton, Rev C.E.	6	1927	16		welcome to Rockhampton BC	
Qld Baptist College	7	1927	1		photo - Principal and students Holmans	Hohnke, Pfeffer, Simpson, Dart
Qld Baptist College	7	1927	3		editorial	
Baptist Association of Qld	7	1927	4		Jubilee details	
Qld Baptist College	7	1927	6	Hohnke, Martin	photos student pastors - Noble, Simpson	Holmans, Aldridge, Pfeffer, Schmidt, Dart, Evans
Home Mission	7	1927	8		report Tugun, Coolangatta,	
Baptist Association of Qld	8	1927	5		Jubilee - historical dates	p 18 - program
Canberra BC	8	1927	6		photo	
Qld Council of Churches	8	1927	7		report	
Pope, Mrs W.G.	8	1927	16		obit	
Baptist Association of Qld	9	1927	3		Jubilee report	
Krueger, Pastor Karl (Carl)	9	1927	6	Kalbar	obit	
Noble, Mr and Mrs J.A.	9	1927	6		Family reunion - photo page 1	
Cochrane, Mr Alexander	9	1927	7	Silkstone	obit	
Sunday School Examination	9	1927	9		examination results	
Barton, Mr E.J.T.	9	1927	11		health problems - resigns as church	news editor of Qld Baptist
Albion BC	9	1927	12		new school hall	
Breedon, Mr George	9	1927	16	Petrie Terrace	obit	
Brown, Mrs	9	1927	16	Petrie Terrace	obit	
Home Mission	10	1927	4		appeal feature	
War	10	1927	18		Baptist Union of Australia statement	on war
Home Mission	11	1927	6		Southport report	
Hicks, Mr Richard	12	1927	6		retires from Home Mission and	Lay Preachers Plan
Smith, Miss Edith	1	1928	8		obit	
Baptist Colonial Society	2	1928	5		Rev F. Hodgson representative visit	
Suchting, Hilda	2	1928	12	Rosalie	obit	
Qld Baptist College	2	1928	14		syllabus	
Grimes, Miss Amy E.	3	1928	4	Fairfield	obit	
McKenzie, Mr William	3	1928	4	Townsville	obit	
Baptist Union of Australia	3	1928	5		photo in City Tabernacle BC	
Canberra BC	3	1928	5		laying foundation stone	
Baptist Colonial Society	3	1928	6		Rev F. Hodgson - visist	
Betheridge, Mrs	3	1928	11	Clayfield	obit	
Griffiths Mr John	3	1928	11	Gympie	obit	
Spiller, Mrs	3	1928	11	Gympie	obit	
McKenzie, Mr Wm	3	1928	13	Nundah	obit	
Baptist Union of Qld	4	1928	3		Half yearly assembly report	
Whale, Mrs	4	1928	4		Birthday celebration - 86 years	
Weber, Mrs	4	1928	10	Kalbar	obit	
Zimmermann	4	1928	10	Kalbar	obit	
Profke, Wilhelm	4	1928	11	Murgon	obit	
City Tabernacle BC	5	1928	9		Boys' easter trip	
Qld Council of Churches	5	1928	9		report	
Stephen, Hon. William	5	1928	9	South Brisbane	obit	
Dart, Miss L.M.	5	1928	14	Taringa	obit	
Minsters' Fraternal	6	1928	4		Retreat report	
Baptist Union of Australia	6	1928	6		visitors to Qld - photo - C.J. Tinsley,	Rev F.J. Dunkley and local officials
Charteris, Mrs A.	6	1928	11	Maryborough	obit	see also 07/1928 page 12
Kantor, Leslie Roy	6	1928	11	Newmarket	obit	
Voller, Rev J.C.	6	1928	14	Taringa	Unveiling of photo of first committee of	the church, including J. Voller by W. Voller
Qld Baptist College	7	1928	3		editorial and photo of principal and	students on page 1
Qld Council of Churches	7	1928	4		report	
Baptist World Alliance	8	1928	1		report of 4th congress by H. Dart	
Sands, Mr and Mrs J.	8	1928	6	Wynnum	Golden wedding	
Burstow, Ald T.S.	8	1928	8	Toowoomba	obit	
Cooksley, Mrs C.A.	8	1928	8	City Tabernacle BC	obit	
Hill, Mrs Harriet	8	1928	8		obit	
Steven, Mr James	8	1928	8		obit	also page 14
Qld Council of Churches	8	1928	11		report	
Dart, Rev H.	9	1928	7		Impressions of America	
Pritchard, Mrs	9	1928	11	Clayfield	obit	
Sims, Mr A.G.	9	1928	11	Clayfield	obit	
Dou, Mrs F.	9	1928	12	Kalbar	obit	
Home Mission	10	1928	1		Map of Queensland compared with other	states and Home Mission task
Home mission	10	1928	4		Reports and photos from various centres	
Simmonds, Mr ArthurJ.	10	1928	8	Longreach	obit	by W.R. Smith
Peut, Miss Lily	10	1928	14	Vulture St	obit	
Youth	11	1928	4		Baptist faith and youth by Rev E.J.	Rogers - cont. in Dec 1928
Bunyan, John	11	1928	6		John Bunyan Tercentenary meeting	also page 1
Bigelow, Mr Joshua Cushman	11	1928	8	Murgon	obit	
Farr, Miss Rebecca	11	1928	14	Vulture St	obit	
Hodges, Mr Samuel	12	1928	8	Gympie	obit	
Silkstone BC	12	1928	13		foundation stone laid for new church	
Bunyan, John	12	1928	14		report on Tercentenary	
New Year's Day convention	1	1929	7		report	
Crawford, Mr David H.	1	1929	10	Albion	obit	
Walker, Olive Miss	2	1929	11	Maleny	obit	
Qld Baptist College	2	1929	14		syllabus for year	
Qld Council of Churches	3	1929	6		report	
Silkstone BC	3	1929	10		opening of church report	
Peffer-Morgan	5	1929	9		wedding of Nancy S Morgan and	Rev F.E. Peffer - Tugun
Baptist Union of Qld	5	1929	11		half yearly assembly	
Sunday School Teachers	5	1929	12		Teachers' conference report	
Coffin, Mr	5	1929	17	Rosalie	obit	
Moody,Mrs Mary	5	1929	17	Rockhampton	obit	
Nundah BC	6	1929	5		opening of Sunday School	replaces old Fortesque St building
Qld Baptist College	7	1929	3		25th year	includes special supplement photo students, staff
Baptist Union of Australia	7	1929	4		Triennial meeting business	
City Tabernacle BC	7	1929	4		Womens' work jubilee meeting report	
Queensland Council of Churches	7	1929	5		report	
Nundah BC	7	1929	13		opening Sunday School hall	
Baptist Union of Australia	8	1929	1		editorial	
Higlett, Rev. W.	8	1929	4		retirement	
Munro, Mrs John	8	1929	4		obit	daughter of Rev. W. Poole
Pope, Rev. W.G.	8	1929	4		illness reported	
Brown, Mrs Margaret Ann	8	1929	5	Nundah	obit	
Mt Isa	8	1929	5		visit by Rev. B. Hewison	
Meissner, Mrs	8	1929	12	Marburg	obit	
Robbins, Miss Etty	8	1929	12	Maryborough	obit	
Clark, Mrs C.S.	8	1929	13	Sandgate	obit	
Howard, Mr James	8	1929	14	Taringa	obit	father of Mrs J.H. Latimer
Baptist Union of Qld	9	1929	3		Assembly - visitor Rev J. E. Newnham	photo page 1  feature page 4
McColl, Mr James	9	1929	6	Rosalie	obit	also page 11
Murray, Mrs Alex	9	1929	6	City Tabernacle	obit	
Sayce, Mrs Emily	9	1929	6	Fairfield	obit	mother of Rev. R. Sayce
Kent, Mr Alfred President Baptist Union of Qld	10	1929	3		feature and photo of president	
Baptist Union of Australia	10	1929	4		report of meetings	
Monto BC	10	1929	6		photo Sunday school	
Palm Beach BC	10	1929	7		photo	
Grimes, Mr S.D.	10	1929	8		retires as City Missioner	
Knight, Mrs Bertha	10	1929	11	City Tabernacle Fortesque St	obit	
Leitch, Rev. T.	10	1929	11	Windsor Road	obit	
Patullo, Mr George	10	1929	11	Albion	obit	
Larner, Mr and Mrs	10	1929	12	Gympie	obits	
Abraham, Mrs	10	1929	13	Murgon	obit	
Williams, Mr J.	10	1929	13	Newmarket	obit	
Leitch, Rev. Thomas	11	1929	3		obit	photo page 1
Stevenson, Mrs S.W.E.	11	1929	5	City Tabernacle BC	obit	
Wondai	11	1929	8		visit by President	
Korner, Mrs J.	11	1929	11	Kalbar	obit	
Neuendorf, Mr Ferdinand Friedreich	11	1929	12	Tarampa	obit	
Edwards, Rev E.	12	1929	4		appeal for material for history	of Home Mission
Gympie BC	12	1929	4		appeal for help	
Colthup, Mr J.B.	12	1929	5		welcome	
Dart, Rev H.W.	1	1930	4		report from Canada	
Dennis, Mr and Mrs George	1	1930	4	City Tabernacle	golden wedding	also page 10
Hopper, Mr and Mrs George	1	1930	4		farewell	
Humphreys, Mr and Mrs E.R.	1	1930	4		gift of land to Wynnum BC	
Keith, John Crook	1	1930	5		obit	photo page 1
Monto BC	1	1930	6		visit of Home Mission chairman	
Starling, Mrs Walter	1	1930	10	Albion	obit	
Grimes, Mr W.D.	2	1930	4		Commander of Order of St John	
Kirwood, Mr A.E.M.	2	1930	4		overseas trip	
McKenzie, Mr and Mrs A.	2	1930	4	Ipswich	farewell on overseas trip	
Windsor Road BC	2	1930	4		Rev A.H. Brooks begins ministry	
Hill, Rev. H.R.G.	2	1930	8	Petrie Terrace	obit	
Earl, Mrs J.H.	2	1930	9	Clayfield	obit	
Irvine, Mr John Spence	2	1930	9	Clayfield	obit	
Noble, Mrs J.A.	2	1930	10	Vulture St	obit	photo  - also page 12
Kajewski, Miss Bethenie	2	1930	12	Warwick	obit	
Qld Baptist College	2	1930	14		syllabus for year	
Baptist Union of Qld	3	1930	1		half yearly assembly	
Hurst, Rev. W.E.	3	1930	4		Sermon: The Picture palace	
Hill, Rev. H.R.G.	3	1930	6	Petrie Terrace	obit	photo
Monto BC	3	1930	8		opening of church	
Storie, Mrs John	3	1930	8	Windsor Road	obit	
Baptist Union of Qld	4	1930	5		Half yearly assembly report	
Hicks, Mr Richard	4	1930	6	City Tabernacle	obit	
Kuss, Mrs A.	4	1930	12	Marburg	obit	
Bartholomew, Mr Arthur	4	1930	14	Sandgate	obit	
Monto BC	5	1930	7		opening of church - report	
Youth work	5	1930	10		Moreton Bay mariners with Ken Lethem	
Jensen, Olsen S. and descendants	5	1930	14	Wamuran Woodford Gordon Park	memorial service and baptisms of	several descendants
Redland Bay BC	6	1930	3		report	
SGMU	6	1930	5		report of camp, photo	
Wynnum BC	6	1930	6		dedication of building - photo	
Social service	7	1930	1		editorial	
Dart, Rev H.W.	7	1930	4		report from Canada and marriage	
Weller, Rev. A.G.	7	1930	4		resigns from Nundah	
Stephens, Mr Frank H.	7	1930	5	Maryborough	honoured by local community	
Qld Baptist College	7	1930	8		promotional feature - photo	
Glassop, Mr and Mrs Stephen	7	1930	9	Taringa	Diamond Wedding	
Fox, Mrs	7	1930	10	Albion	obit	
White, Miss Doris	7	1930	10	Albion	obit	
Messinbird, Mrs	7	1930	13	Taringa	obit	
Nuendorf, Mr A.	7	1930	13	Tarampa	obit	
Hoy, Mrs	7	1930	14	Toowong	obit	
Revival	8	1930	1		editorial	
City Tabernacle BC	8	1930	4		report and history	
Employment	8	1930	10		notice of those seeking work	
White, Miss Doris	8	1930	10	Albion	obit	
Brown, Mrs W.	8	1930	12	Ipswich	obit	
Lovelock, Mrs	8	1930	14	14	obit	
Ingram, Mrs J.W.	9	1930	7	Silkstone	obit	daughter of Rev. F. Buckingham
Griggs, Mrs Harriet	9	1930	12	Jireh	obit	husband was half-brother to Rev J. Kingsford
Hurst, Rev W.E. President Baptist Union of Qld	10	1930	3		observations on assembly - photo page 1	
Jackson, Rev W.D.	10	1930	4		photo - preaching at City Tabernacle BC	
Sullivan, Mr James	10	1930	4		photo - Vice President, Baptist Union	of Qld
Kerr, Rev Robert	10	1930	5	Albion	obit	photo
Bean, Rev A.W.	10	1930	6		arriving at Nundah from New Zealand	
Emery, Mrs James	10	1930	13	Rockhampton	obit	
Wamuran BC	11	1930	1		photo of baptism at Waraba Creek	
Home Mission	11	1930	3		appeal and reports including Warwick	Tugun Palm Beach
Home Mission	11	1930	6		photos - Monto, Banyo	
Presidents of Baptist Unions	11	1930	8		editorial	
Lawson, Miss given	11	1930	12	Clayfield	obit	
Bean, Rev A.W.	12	1930	7	Nundah	photo	
Tarampa BC	12	1930	7		Jubilee celebrations	historical sketch
Banyo BC	12	1930	8		opening of new church	
Weller, Rev A.G.	12	1930	9		Farewell and honour as Senior Chaplain	
Dalton, Mr William	12	1930	10	Clayfield	obit	
Kent, Mr H.J.	12	1930	12	Maryborough	obit	
City Tabernacle BC	1	1931	7		youth easter bay trip	
Qld Council of Churches	2	1931	3		week of prayer as per Evangelical	Alliance
Christian Endeavour	2	1931	4		50th anniversary	
Beasley, Mrs E.R.	2	1931	6	Gympie Windsor Rd Newmarket	obit	
Walton, Mr W.	2	1931	12	Rosalie	obit	
Qld Baptist College	2	1931	14		syllabus for year	
Qld Baptist College	3	1931	1		improved standards and developments	
Qld Council of Churches	3	1931	3		week of prayer	
Hurst, Mrs	3	1931	4	UK	obit	mother of Rev W.E. Hurst
Martin, Mrs Margaret	3	1931	4	City Tabernacle	obit	
Youth - camping	3	1931	4		young men's camp movement	
White, Pastor J.E.	3	1931	7		farewelled from Rockhampton	
Bell, Rev William	4	1931	4		biographical memories - photo page 1	
Grimes, Mr W.D.	4	1931	5		letter of appreciation on retirement as	secretary of Qld Baptist College - photo
Heinrich, Rev J.	4	1931	8		concludes at Blenheim Tent Hill and	replaced by W.K. Holmans
Scholl, Mrs J.	4	1931	11	Kalbar	obit	
Kerr, Rev Robert	5	1931	8		memorial tablet erected at Mt Tamborine	
Anzac Day	5	1931	11		feature by Mr J.F. Sullivan	
Duplex offering scheme	5	1931	11		feature	
Earl, Mrs S.	5	1931	12	Clayfield	obit	
Hobbs, Mr Chas	6	1931	13	Taringa	obit	
Qld Baptist College	7	1931	1		photo	
Kirwood, Rev E.A.	7	1931	3		The Making of a minister	
Cole, Mrs	7	1931	5		bequest	
Qld Baptist College	7	1931	5		College Sunday	
Burnett, Mr A. - Harrison, Dorothy	7	1931	10	Bulimba	marriage	
Camping	8	1931	4		Camping development - Ken Lethem hands	over camp property at Currumbin
Bush, Miss Margery	8	1931	8		leaves for missionary work	photo
Riggall, Mr J.E.	8	1931	8	Graceville	obit	
Williams, Mrs David	8	1931	8	Silkstone	obit	also page 13
Buckley, Miss Elizabeth Ann	8	1931	9	Jireh	obit	also poage 12
Catholics, Masons and Baptists	9	1931	3		editorial	
James, Mr Walter	9	1931	6	City Tabernacle	obit	
Haughan, Rev. George	9	1931	7		photo - commencing at Nundah	
Boettcher, Mr Gustav	9	1931	9	Marburg	obit	
Sullivan, Mr James - President Baptist Union of Q	10	1931	1		feature and photo	
Farquhar, Rev J.C.	10	1931	4		feature Vice President Baptist Union of	Qld and photo
Toowong BC	10	1931	7		Jubilee celebrations	
Youth Camping	10	1931	9		report of BYMC	
Jones, Mrs H.A.	10	1931	10	Fairfield	obit	
Lear, Mr Clement	10	1931	14	Vulture St	obit	
